"Game_ID";"Score_hole_1";"Score_hole_2";"Score_hole_3";"Score_hole_4";"Score_hole_5";"Score_hole_6";"Score_hole_7";"Score_hole_8";"Score_hole_9";"Score_hole_10";"Score_hole_11";"Score_hole_12";"Score_hole_13";"Score_hole_14";"Score_hole_15";"Score_hole_16";"Score_hole_17";"Score_hole_18";"TOTAL"
329;;;;;;;;3;5;6;4;6;4;5;;;;;83
330;6;7;5;7;;;;;;;;;;;5;5;3;5;97
331;;;;;;4;4;3;4;;;;;;;;;;77
332;;;6;4;6;4;5;3;4;4;5;;;;;;;;80
333;;;;;;;;;;;;;;;4;4;4;6;85
334;;;;;6;4;5;3;5;6;5;;;;;;;;82
335;;5;7;4;6;3;;;;;;;;;;;;;86
336;;;;5;4;3;4;;;;;;;;;;;;77
337;;4;6;;;;;;;;;;;;;;;;85
338;5;5;;;;;;;;;;4;4;3;5;4;3;4;79
339;;;;;;;4;3;5;7;6;6;;;;;;;86
340;4;4;;;;;;;;;;;;;;;3;3;74
341;5;6;;;;;;;;;5;5;5;6;3;6;4;6;92
342;;;;;;3;5;3;4;4;;;;;;;;;74
343;;;;;;;;;4;7;;;;;;;;;84
344;;;;;;;;;;;;5;3;4;3;4;;;76
345;;;;;;;;;;;;;;4;3;6;4;;83
346;;;;;;5;;;;;;;;;;;;;84
347;6;5;5;3;;6;5;3;3;5;4;6;3;5;4;5;6;5;85
348;5;4;4;4;7;4;;;;;;6;3;4;4;4;5;6;84
349;;;3;3;6;5;5;4;4;6;3;5;;;;;;;77
350;;;;;;;;;;5;6;7;6;5;3;5;4;;90
351;;;;;;;;;;;;5;4;;;;;;84
352;3;3;3;4;5;6;3;4;4;6;6;;;;;7;3;5;79
353;;;;;7;5;4;;;;;;;;;;;;84
354;4;7;5;4;6;5;4;6;4;7;7;9;4;;;;;8;100
355;4;4;;;;;;;;7;6;5;3;5;3;4;3;6;82
356;3;3;5;5;5;4;4;3;;;;;;;;;;;76
357;4;;;;;;;;;;;;;;;4;4;6;83
358;5;;;;;;;;;;;;;;;;;5;84
359;;7;4;4;6;5;3;6;4;7;6;9;4;6;;;;;95
360;;;;;5;6;4;3;5;7;5;5;3;3;3;5;3;5;79
361;4;4;4;3;;;;;;;4;5;3;4;3;4;3;5;73
362;8;4;5;4;5;4;4;3;7;4;7;6;;4;3;5;4;4;85
363;3;;;;;;;;;5;4;5;3;5;4;4;4;6;78
364;;;4;3;4;5;4;3;4;5;5;;;;;;;;74
365;5;7;7;3;7;4;5;3;7;6;6;;;4;5;4;3;4;89
366;;;;;;;;;;;;;;;4;;;;84
367;4;;;4;6;5;6;3;4;5;6;5;3;5;4;4;4;6;83
368;3;3;5;4;4;4;;;;;;;3;3;3;4;3;6;71
369;;;;;;;;3;5;5;4;5;5;3;3;;;;78
370;6;4;6;;;;;;;8;3;6;4;6;3;5;3;7;90
371;;;;3;6;6;4;4;5;8;;;;;;;;;87
372;;;;;;;;;;;;;3;5;3;;;;79
373;;;;;;;;;;;;;;5;4;4;;;82
374;;;4;4;5;4;4;4;4;5;4;5;3;5;4;4;4;6;78
375;;;5;3;5;5;4;3;4;6;3;5;3;;;;;;75
376;5;;;;;;6;3;4;6;5;6;4;4;4;6;4;6;88
377;4;5;4;4;6;3;6;3;4;6;7;;;4;4;6;4;5;84
378;;;;;;4;5;3;4;7;6;6;3;3;4;;;;81
379;;4;3;3;7;6;;;;;;;;;;;;;81
380;;;;;;;;;;;;;6;6;4;5;4;5;91
381;;;;;;;;;;;;;4;;;;;;84
382;;;;;;;;;;;;4;5;5;5;5;3;5;85
383;;3;3;3;7;6;5;;;;;;;;;;;;80
384;;;;;;;;;4;7;6;9;4;6;4;5;;;94
385;;;;;;;4;4;4;7;4;5;;;;;;;81
386;4;4;4;3;6;7;5;3;4;8;5;6;;5;5;5;3;6;87
387;5;;;;;;;;;;;;;;;;3;5;82
388;;;;;;;;;;;;;;;;;3;;81
389;3;3;4;3;5;6;5;4;;;;;;;;;;;77
390;5;3;4;3;6;5;4;4;4;5;4;5;4;6;4;;;;79
391;;;;;;;;;;;;5;5;5;4;4;3;;83
392;6;8;3;7;4;7;;;;;;;5;8;4;8;5;5;105
393;;;;6;8;5;4;4;6;6;5;;;;;;;;92
394;;;;;;;;3;4;6;6;3;3;4;3;5;4;;77
395;;;;;;;;;5;6;3;;;;;;;;80
396;;;;;;;6;3;5;6;5;5;6;4;3;6;4;5;87
397;3;3;3;4;6;5;4;3;5;6;5;5;;4;3;5;3;5;76
398;;;;;;;;;;;5;6;4;5;4;;;;86
399;;;;;;7;4;;;;;;;;;;;;87
400;;;;;;;4;3;;;;;;;;;;;80
401;4;;;;;;;4;4;6;4;3;3;4;3;3;4;6;74
402;;;;3;;;;;;;;;;;;;;;81
403;;;5;5;5;5;4;3;4;4;4;;;;;;;;78
404;;;;;;;;;;6;4;5;;;;;;;81
405;5;6;;;6;5;4;4;5;5;6;6;4;5;4;5;3;6;88
406;;;;;;;;;;;;;3;6;;;;;84
407;;;6;3;5;4;4;3;5;7;;;;;;;;;81
